"ccaa_nombre","provincia_cod_ine","provincia_nombre","poblacion","censo_electoral","votos_validos","votos_candidaturas","votos_blanco","votos_nulos"
"Andalucía",4,"Almería",709340,502627,302424,299763,2661,2990
"Andalucía",11,"Cádiz",1238714,1002295,616079,606858,9221,8116
"Andalucía",14,"Córdoba",785240,648341,444376,438971,5405,7399
"Andalucía",18,"Granada",912075,755007,482779,478251,4528,8123
"Andalucía",21,"Huelva",519932,399019,250681,247336,3345,4648
"Andalucía",23,"Jaén",638099,526659,365106,361745,3361,5937
"Andalucía",29,"Málaga",1641121,1197688,756721,748363,8358,10098
"Andalucía",41,"Sevilla",1939887,1547744,1053518,1039725,13793,17729
"Aragón",22,"Huesca",219345,172722,113597,112234,1363,1194
"Aragón",44,"Teruel",134572,107467,74130,73727,403,531
"Aragón",50,"Zaragoza",954811,739573,513284,508295,4989,4355
"Principado de Asturias",33,"Asturias",1028244,972580,559745,552704,7041,5486
"Illes Balears",7,"Illes Balears",1128908,807170,454199,449531,4668,4393
"Canarias",35,"Las Palmas",1109175,871728,483928,479953,3975,5426
"Canarias",38,"Santa Cruz de Tenerife",1018510,855138,463579,460199,3380,4443
"Cantabria",39,"Cantabria",580229,501676,327089,325422,1667,2732
"Castilla - La Mancha",2,"Albacete",388786,309996,214304,212482,1822,2613
"Castilla - La Mancha",13,"Ciudad Real",499100,395785,268594,266237,2357,3876
"Castilla - La Mancha",16,"Cuenca",197222,154441,109119,108117,1002,1418
"Castilla - La Mancha",19,"Guadalajara",254308,187371,132154,131006,1148,1642
"Castilla - La Mancha",45,"Toledo",687391,525752,363474,360813,2661,5145
"Castilla y León",5,"Ávila",158498,136717,93496,92741,755,1297
"Castilla y León",9,"Burgos",357070,298989,198971,196345,2626,2693
"Castilla y León",24,"León",463746,432073,262679,259969,2710,3032
"Castilla y León",34,"Palencia",162035,141321,95788,94773,1015,1250
"Castilla y León",37,"Salamanca",331473,305536,195170,193188,1982,2503
"Castilla y León",40,"Segovia",153342,119492,85039,84034,1005,1412
"Castilla y León",42,"Soria",88600,76827,46410,45689,721,838
"Castilla y León",47,"Valladolid",519851,432655,311454,308307,3147,3333
"Castilla y León",49,"Zamora",174549,168268,99791,98585,1206,1543
"Cataluña",8,"Barcelona",5609350,4201151,2927755,2907298,20457,14599
"Cataluña",17,"Girona",761947,524978,355702,353395,2307,2099
"Cataluña",25,"Lleida",432866,314425,207356,205816,1540,1375
"Cataluña",43,"Tarragona",795902,574866,385419,382704,2715,2669
"Extremadura",6,"Badajoz",676376,554994,370159,366560,3599,6781
"Extremadura",10,"Cáceres",396487,344445,223257,221363,1894,4364
"Galicia",15,"A Coruña",1119351,1087839,613494,606187,7307,7056
"Galicia",27,"Lugo",331327,344446,180145,178051,2094,2996
"Galicia",32,"Ourense",309293,360302,171471,169805,1666,2127
"Galicia",36,"Pontevedra",941772,906111,522997,517855,5142,7080
"Comunidad de Madrid",28,"Madrid",6578079,5088093,3563147,3534364,28783,28317
"Comunidad Foral de Navarra",31,"Navarra",647554,512826,334982,331531,3451,3014
"País Vasco",1,"Araba / Álava",328868,258495,170855,169944,911,1344
"País Vasco",20,"Gipuzkoa",720592,584461,382868,380961,1907,1678
"País Vasco",48,"Bizkaia",1149628,949598,630312,626506,3806,3665
"Región de Murcia",30,"Murcia",1478509,1061841,714927,709674,5253,7418
"La Rioja",26,"La Rioja",315675,250213,164934,163177,1757,2615
"Comunitat Valenciana",3,"Alicante / Alacant",1838819,1276691,851716,844938,6778,8334
"Comunitat Valenciana",12,"Castellón / Castelló",576898,420741,294469,292231,2238,3023
"Comunitat Valenciana",46,"Valencia / València",2547986,1970196,1390258,1379460,10798,12147
"Ciudad de Ceuta",51,"Ceuta",85144,62513,33395,33071,324,351
"Ciudad de Melilla",52,"Melilla",86384,59497,30932,30747,185,240
